env_par,aa,ab,ac,ba,bb,bc,ca,cb,cc,da,db,dc,ea,eb,ec,fa,fb,fc
m_gv,-0.69,-1.24,-0.67,-0.36,-0.31,0.52,-1.12,-0.43,-0.33,0.83,1.97,0.24,-0.40,-0.77,2.65,0.42,-0.83,0.51
m_pH_H2O,-0.79,0.23,-0.45,0.46,0.80,0.80,0.46,0.23,0.23,0.57,0.57,0.23,-0.33,2.39,-0.33,-1.58,-1.70,-1.81
m_pH_Ca,-0.99,-0.19,-0.64,0.38,0.95,0.95,0.15,0.15,0.15,0.49,0.61,0.15,-0.76,2.77,-0.08,-1.55,-1.10,-1.44
m_CN,0.35,-1.16,-0.96,-0.47,-0.45,-0.03,-1.12,-0.36,-0.19,-0.36,0.95,-0.11,-0.89,-0.93,0.57,2.41,0.63,2.12
m_Cl,0.16,-0.66,-0.74,0.16,-0.57,-0.17,-0.66,3.33,-0.17,0.00,0.97,1.30,-0.66,-0.98,-0.41,-0.66,-0.57,0.32
m_NO3,-0.43,-0.86,0.18,0.00,-0.77,-0.49,-0.37,-0.03,-0.22,0.74,1.08,-0.06,-0.65,0.06,2.96,-0.83,1.33,-1.63
m_P,0.09,-1.50,-1.50,-1.50,-0.18,0.35,-0.44,1.41,1.15,0.09,1.68,0.62,0.09,-0.18,1.41,-1.50,0.09,-0.18
m_SO4,0.02,-0.44,0.07,-0.74,-1.24,-0.79,-0.94,-0.79,-0.59,-0.18,0.57,0.07,-0.59,-0.79,2.13,0.97,2.38,0.87
m_oP,-0.05,-0.52,-0.41,-0.06,-0.20,-0.06,-0.27,-0.01,-0.15,-0.26,0.29,-0.10,-0.15,-0.41,4.02,-0.50,-0.60,-0.54
m_Ag,2.22,0.70,0.20,-0.31,-0.31,-0.31,1.21,-0.82,-0.82,-1.32,-1.32,-0.82,0.20,0.20,-1.32,1.72,0.70,0.20
m_N15,-0.71,2.20,2.12,-0.05,0.65,-0.28,1.48,0.08,-0.31,-0.45,0.07,-0.14,-0.01,-0.39,-0.58,-1.37,-0.89,-1.41
m_C13,0.19,1.02,1.63,-1.19,-0.92,-1.31,-0.56,-1.56,-1.57,-0.23,0.35,0.92,-0.65,0.95,0.23,0.54,0.95,1.20
m_ell_L,0.52,0.46,0.64,-1.82,-1.82,-1.82,0.82,-1.82,0.87,0.22,0.46,0.35,0.73,0.76,0.82,0.41,0.29,-0.06
m_ell_T,0.51,0.51,0.51,-1.87,-1.87,-1.87,0.51,-1.87,0.51,0.61,0.51,0.59,0.67,0.51,0.51,0.51,0.51,0.51
m_ell_K,0.51,0.51,0.51,-1.80,-1.80,-1.80,0.13,-1.80,0.26,0.67,0.51,0.64,1.03,0.77,0.90,0.51,0.51,-0.26
m_ell_F,0.62,0.62,0.79,-1.40,-1.40,-1.40,0.62,-1.40,0.62,0.74,0.74,0.72,0.62,0.62,0.62,-1.40,-1.40,1.12
m_ell_R,1.31,1.31,1.31,-1.33,-1.33,-1.33,0.49,-1.33,0.49,0.65,0.32,0.65,0.49,0.65,0.32,-0.01,-1.33,-1.33
m_ell_N,0.63,0.63,1.37,-1.56,-1.56,-1.56,0.39,-1.56,0.39,0.39,0.39,0.39,0.71,0.39,0.39,0.88,0.88,-1.56
